guid,tag
3898,positive
751,positive
3963,positive
3891,negative
312,positive
867,negative
3268,negative
1697,negative
1791,negative
3701,negative
2055,positive
3914,positive
3572,positive
1660,neutral
2943,positive
424,positive
1285,positive
3039,positive
1642,positive
1111,positive
1539,positive
3401,negative
2098,positive
3400,positive
4345,negative
1352,negative
4681,positive
3005,positive
2362,negative
2154,positive
1512,positive
2677,neutral
848,positive
1243,positive
3637,positive
1990,positive
2627,negative
948,positive
5039,neutral
1587,positive
55,negative
4738,positive
4205,positive
3494,positive
2758,positive
479,positive
1898,positive
3046,negative
1088,positive
1039,positive
1875,negative
1100,positive
224,positive
2585,negative
2888,positive
1309,positive
4693,positive
3651,positive
383,negative
1057,positive
2607,positive
3306,positive
310,neutral
2646,positive
1490,positive
4860,positive
1606,positive
3554,positive
3580,neutral
4947,positive
3889,positive
5,positive
2704,negative
3346,positive
2480,negative
3842,positive
4807,positive
3001,positive
4715,positive
4410,positive
1290,positive
4644,positive
4294,negative
4847,negative
2750,positive
1861,positive
4272,positive
617,negative
1574,negative
2332,negative
1974,positive
3399,positive
3714,positive
5092,negative
2709,positive
1435,negative
4449,negative
2939,negative
1429,positive
145,positive
250,negative
4871,positive
1868,neutral
1508,positive
4811,negative
3222,positive
566,negative
558,positive
38,positive
533,negative
2527,negative
2078,negative
3731,negative
124,positive
4774,positive
967,positive
3016,negative
2911,positive
4613,positive
4201,positive
4877,positive
4306,neutral
3671,positive
4255,positive
1105,positive
1806,positive
3061,negative
1830,positive
3417,positive
60,negative
1933,positive
3022,positive
2635,negative
2815,positive
1301,positive
575,negative
4925,negative
4112,positive
5127,positive
4795,positive
334,negative
3126,negative
912,positive
3969,positive
3451,negative
3336,negative
923,positive
2737,neutral
2443,positive
1312,positive
3505,negative
2764,positive
4580,negative
3854,positive
2570,positive
2989,positive
2115,negative
3462,negative
1699,neutral
4898,negative
4138,positive
1866,positive
2915,positive
1635,positive
1908,negative
4030,positive
4771,positive
3248,negative
494,positive
3161,negative
20,negative
3300,positive
4242,negative
1476,positive
1879,positive
1384,positive
1616,positive
4376,positive
3884,positive
2026,negative
4291,negative
4790,positive
657,neutral
2873,positive
812,positive
2893,positive
3296,positive
126,positive
2469,positive
3206,negative
2019,positive
916,negative
4621,positive
1620,positive
184,neutral
5017,positive
1201,positive
5111,positive
4417,negative
4431,positive
4434,positive
4920,positive
272,negative
279,positive
3020,positive
2325,positive
2858,positive
4288,positive
1596,positive
803,positive
4363,negative
1895,positive
3044,positive
4721,positive
698,negative
1426,positive
2016,positive
3745,positive
4903,positive
534,positive
3650,neutral
3371,positive
112,positive
176,positive
573,positive
4919,negative
3276,positive
480,positive
87,positive
911,positive
3705,positive
3082,positive
2537,negative
4450,positive
1497,positive
3083,negative
443,positive
2957,positive
2099,positive
2962,positive
460,positive
1918,positive
3052,positive
13,positive
863,negative
1252,positive
3570,positive
4684,positive
2046,positive
1537,negative
2555,positive
1052,positive
1713,positive
2597,positive
282,positive
3833,neutral
4885,negative
4587,positive
1401,positive
1281,negative
2085,positive
565,positive
1205,positive
1560,positive
4064,negative
1036,positive
2606,negative
4777,positive
588,positive
609,positive
3279,positive
3511,positive
4796,negative
2107,positive
1106,positive
3395,positive
2546,negative
4678,positive
1000,positive
1048,positive
1059,positive
1485,positive
3195,negative
2029,negative
